isos,enu_tfec_total_pc,enu_trp_total_pc,enu_hhcops_elec_pc,enu_hhcops_total_pc,ns_prosupp_pc,ns_hale,ns_unempl,ns_edu_bas,ns_h20_acc,ns_san_acc,ns_undernourished,ns_pov_gap_320,ns_pov_hcratio_nationalline,ns_doctors,ps_roadkm_pc,ps_gini,ps_gdp_ppp_pc,ps_ge,ps_va,ps_growth,ps_xpd_hlth_gov2tot,ps_xpd_gov_edu2tot,ps_soc_sec_cov,ps_unions,ps_corp_power,ps_fdi,ps_veh_pc,ps_pop_urb,ps_age_1564,ps_res_rent,ps_elec_acc,ps_nsolfuel_acc,ps_rail_pkmpc,ps_infra_qual,ps_tax_rev,ps_aid,ps_remitt,ps_soc_contr,ps_expo,ps_impo,ps_hdd,ps_cdd,ps_tmin,ps_tmean,aux_pop,aux_gdp_ext,aux_tfec_ext
ABW,,,,,,,,,98.1,97.7,,,,,,,34830.98,1.231319,1.257616,0.8914471,,,,,,,,42.364,69.10531,,90.87544,,,,,,,,65.24135,82.43333,,,,,102393,,
AFG,,,,,58.91,50.75462,8.5,36.53333,51.6,30.5,23.2,,38.3,0.245,,32.6,1772.765,-1.397558,-1.319379,6.87505,34.28332,12.82317,8.820582,,,0.2995921,0.0502277,25.468,51.19995,1.752003,43,19.48096,,2,7.471639,0.3410356,1.225799,0.4534526,18.96654,62.62026,,,5.5,12.6,29726800,57500130000,
AGO,22.63459,5.115132,0.5094855,14.43641,55.59,52.46988,6.9,47.42121,47.8,49.1,35.1,,,0.1311,,43.5,6645.085,-1.02327,-1.071316,1.101899,64.67321,,,,,-5.977515,0.03394219,41.699,49.54495,38.15204,37,44.29522,,2.48,18.83668,0.002696487,0.00003899535,2.406705,55.94013,35.85997,801,10044,14.8,21.55,22685630,153315800000,513480000
AIA,,,,,,,,,,,,,,,,37.7,,1.516753,1.059505,,,,,,,,,,,,,,,,,,,,,,,,21.7,,,,
ALB,26.26707,10.5822,5.426435,9.584011,111.31,67.22797,13.9,60.85194,95.4,92.1,6,1.6,14.3,1.2658,,38.7,10369.56,-0.2803275,-0.002466852,2.207744,48.94649,,54.88551,14.1,,7.468318,0.1250776,54.33,68.5703,5.207158,100,62.08641,0.00001103354,2.43,,0.02915088,8.336632,,28.93749,47.57271,6361,3546,6.3,11.4,2900247,30050720000,76181000
AND,,,,,,71.03071,,67.02866,100,100,,,,4,,,,1.516753,1.427852,0,76.14659,,,,,,,86.708,,0,100,100,,,,,,,,,,,2.9,7.6,79316,,
ARE,237.4804,44.68764,26.8106,27.78272,102.25,62.69592,4,67.3215,99.6,97.5,5,,,1.5167,,,57851.7,1.137964,-1.01277,2.29038,73.9996,,,,27.13441,2.364133,0.1877679,84.684,85.54967,26.10203,97.69783,99.99,,3.84,0.3649174,,,7.259738,100.2465,64.00285,372,14715,21,27,8952542,547653800000,2126053000
ARG,59.0685,17.80639,5.787687,17.12646,101.97,66.33842,7.2,78.33556,98.6,95.5,3.7,0.9,,3.9066,,39.6,19392.31,-0.254902,0.2576525,1.416612,58.95442,15.06353,41.05499,30,6.240224,2.791577,0.2726437,91.295,63.83146,4.266946,99.8,99.12235,0.0002040136,2.94,,0.0004115445,0.1050185,,16.23786,14.28868,4233,5232,8.2,14.8,42095220,828712200000,2486502000
ARM,30.03654,7.464563,3.537206,11.04911,87.75,65.07875,17.3,70.13667,99.7,89.5,5,3.4,32.4,2.8991,0.002616223,34.2,7505.125,-0.03641658,-0.5784446,5.678332,41.84773,13.70187,65.03766,35.2,1.244423,4.676728,,63.161,70.16045,4.098314,100,92.53452,0.00001678788,2.38,17.49164,0.02671068,18.03302,13.07905,27.56672,48.40002,14816,636,1.3,7.15,2978339,22045240000,89459000
ASM,,,,,,62.07579,,,100,62.5,,,,,,,,0.4774332,1.059505,0,,,,,,,,87.413,,,59.32891,,,,,,,,74.84472,99.84472,,,,,55227,,
ATG,,,,,79.05,67.0532,,68.11414,97.9,,,,,,0.01313588,,20283.9,0.4774332,0.6570508,0.02417564,67.81238,,,,,10.73842,,25.135,67.46455,,90.87544,99.98111,,,18.57519,0.001896554,1.731219,,45.27974,58.50111,,,,26,89069,1866560000,
AUS,147.1077,57.34347,19.48412,32.38559,104.51,70.46131,5.2,92.65355,100,100,2.5,0.5,,3.2976,0.03621998,33,42854.89,1.612136,1.503631,1.413703,67.17297,13.18429,,18.2,90.20448,3.747493,0.7053932,89.015,67.07351,8.319479,100,100,,3.83,21.31819,,0.1587428,,21.48083,21.72952,1674,4033,14.9,21.65,22728250,968139400000,3343501000
AUT,136.1961,39.13622,13.22836,45.92449,103.44,69.69028,4.3,79.4481,100,100,2.5,0.5,,4.845,,27.9,44551.62,1.557239,1.457385,1.374733,75.36733,10.70825,,28,26.02941,1.28129,0.5943067,65.864,67.31783,0.4319619,100,100,0.001228115,4.05,25.71534,,0.743615,32.34543,53.97367,51.1785,15707,1122,2.3,6.35,8429991,386584600000,1148132000
AZE,35.09548,9.902016,4.243752,14.99648,91.57,61.23201,5.2,69.97778,84.5,84.7,2.5,,6,3.4901,,,15888.67,-0.7780845,-1.252067,-0.1946449,22.55673,5.72184,,,,7.701412,0.1202975,53.856,72.1197,40.41904,100,92.74387,0.00006357721,2.42,12.95583,0.004771709,2.895612,6.292326,52.97468,25.28839,11538,1599,6.7,11.95,9295784,150414000000,326240000
BDI,,,,,,51.77806,7,37.00889,75.3,47.5,,51.5,64.9,0.0477,,33.9,748.0755,-1.311597,-0.8913693,0.6366849,60.07716,16.42836,,,,0.02446705,0.005926176,11.189,53.15629,16.71798,6.5,1.999998,,1.68,,0.2399548,1.878091,,9.700001,33.99999,7,4548,13.8,19.8,10124570,7391278000,
