isos,enu_tfec_total_pc,enu_trp_total_pc,enu_hhcops_elec_pc,enu_hhcops_total_pc,ns_prosupp_pc,ns_hale,ns_unempl,ns_edu_bas,ns_h20_acc,ns_san_acc,ns_undernourished,ns_pov_gap_320,ns_pov_hcratio_nationalline,ns_doctors,ps_roadkm_pc,ps_gini,ps_gdp_ppp_pc,ps_ge,ps_va,ps_growth,ps_xpd_hlth_gov2tot,ps_xpd_gov_edu2tot,ps_soc_sec_cov,ps_unions,ps_corp_power,ps_fdi,ps_veh_pc,ps_pop_urb,ps_age_1564,ps_res_rent,ps_elec_acc,ps_nsolfuel_acc,ps_rail_pkmpc,ps_infra_qual,ps_tax_rev,ps_aid,ps_remitt,ps_soc_contr,ps_expo,ps_impo,ps_hdd,ps_cdd,ps_tmin,ps_tmean,aux_pop,aux_gdp_ext,aux_tfec_ext
ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.1,97.7,NaN,NaN,NaN,NaN,NaN,NaN,34830.98,1.231319,1.257616,0.8914471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.364,69.10531,NaN,90.87544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.24135,82.43333,NaN,NaN,NaN,NaN,102393,NaN,NaN
AFG,NaN,NaN,NaN,NaN,58.91,50.75462,8.5,36.53333,51.6,30.5,23.2,NaN,38.3,0.245,NaN,32.6,1772.765,-1.397558,-1.319379,6.87505,34.28332,12.82317,8.820582,NaN,NaN,0.2995921,0.0502277,25.468,51.19995,1.752003,43,19.48096,NaN,2,7.471639,0.3410356,1.225799,0.4534526,18.96654,62.62026,NaN,NaN,5.5,12.6,2.97268e+07,5.750013e+10,NaN
AGO,22.63459,5.115132,0.5094855,14.43641,55.59,52.46988,6.9,47.42121,47.8,49.1,35.1,NaN,NaN,0.1311,NaN,43.5,6645.085,-1.02327,-1.071316,1.101899,64.67321,NaN,NaN,NaN,NaN,-5.977515,0.03394219,41.699,49.54495,38.15204,37,44.29522,NaN,2.48,18.83668,0.002696487,3.899535e-05,2.406705,55.94013,35.85997,801,10044,14.8,21.55,2.268563e+07,1.533158e+11,5.1348e+08
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.7,NaN,1.516753,1.059505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.7,NaN,NaN,NaN,NaN
ALB,26.26707,10.5822,5.426435,9.584011,111.31,67.22797,13.9,60.85194,95.4,92.1,6,1.6,14.3,1.2658,NaN,38.7,10369.56,-0.2803275,-0.002466852,2.207744,48.94649,NaN,54.88551,14.1,NaN,7.468318,0.1250776,54.33,68.5703,5.207158,100,62.08641,1.103354e-05,2.43,NaN,0.02915088,8.336632,NaN,28.93749,47.57271,6361,3546,6.3,11.4,2900247,3.005072e+10,7.6181e+07
AND,NaN,NaN,NaN,NaN,NaN,71.03071,NaN,67.02866,100,100,NaN,NaN,NaN,4,NaN,NaN,NaN,1.516753,1.427852,0,76.14659,NaN,NaN,NaN,NaN,NaN,NaN,86.708,NaN,0,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9,7.6,79316,NaN,NaN
ARE,237.4804,44.68764,26.8106,27.78272,102.25,62.69592,4,67.3215,99.6,97.5,5,NaN,NaN,1.5167,NaN,NaN,57851.7,1.137964,-1.01277,2.29038,73.9996,NaN,NaN,NaN,27.13441,2.364133,0.1877679,84.684,85.54967,26.10203,97.69783,99.99,NaN,3.84,0.3649174,NaN,NaN,7.259738,100.2465,64.00285,372,14715,21,27,8952542,5.476538e+11,2.126053e+09
ARG,59.0685,17.80639,5.787687,17.12646,101.97,66.33842,7.2,78.33556,98.6,95.5,3.7,0.9,NaN,3.9066,NaN,39.6,19392.31,-0.254902,0.2576525,1.416612,58.95442,15.06353,41.05499,30,6.240224,2.791577,0.2726437,91.295,63.83146,4.266946,99.8,99.12235,0.0002040136,2.94,NaN,0.0004115445,0.1050185,NaN,16.23786,14.28868,4233,5232,8.2,14.8,4.209522e+07,8.287122e+11,2.486502e+09
ARM,30.03654,7.464563,3.537206,11.04911,87.75,65.07875,17.3,70.13667,99.7,89.5,5,3.4,32.4,2.8991,0.002616223,34.2,7505.125,-0.03641658,-0.5784446,5.678332,41.84773,13.70187,65.03766,35.2,1.244423,4.676728,NaN,63.161,70.16045,4.098314,100,92.53452,1.678788e-05,2.38,17.49164,0.02671068,18.03302,13.07905,27.56672,48.40002,14816,636,1.3,7.15,2978339,2.204524e+10,8.9459e+07
ASM,NaN,NaN,NaN,NaN,NaN,62.07579,NaN,NaN,100,62.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4774332,1.059505,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.413,NaN,NaN,59.32891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.84472,99.84472,NaN,NaN,NaN,NaN,55227,NaN,NaN
