"","Country.Code","Year","lifeexpectancy_over_energy"
"1","ABW",1973,Inf
"2","ABW",1974,Inf
"3","ABW",1975,Inf
"4","ABW",1976,Inf
"5","ABW",1977,Inf
"6","ABW",1978,Inf
"7","ABW",1979,Inf
"8","ABW",1980,Inf
"9","ABW",1981,Inf
"10","ABW",1982,Inf
"11","ABW",1983,Inf
"12","ABW",1984,Inf
"13","ABW",1985,Inf
"14","ABW",1986,Inf
"15","ABW",1987,Inf
"16","ABW",1988,Inf
"17","ABW",1989,Inf
"18","ABW",1990,Inf
"19","ABW",1991,Inf
"20","ABW",1992,Inf
"21","ABW",1993,Inf
"22","ABW",1994,Inf
"23","ABW",1995,Inf
"24","ABW",1996,Inf
"25","ABW",1997,Inf
"26","ABW",1998,Inf
"27","ABW",1999,Inf
"28","ABW",2000,Inf
"29","ABW",2001,Inf
"30","ABW",2002,Inf
"31","ABW",2003,Inf
"32","ABW",2004,Inf
"33","ABW",2005,Inf
"34","ABW",2006,Inf
"35","ABW",2007,Inf
"36","ABW",2008,Inf
"37","ABW",2009,Inf
"38","ABW",2010,Inf
"39","ABW",2011,Inf
"40","ABW",2012,Inf
"41","ABW",2013,Inf
"42","ABW",2014,Inf
"43","ABW",2015,Inf
"44","ABW",2016,Inf
"45","ABW",2017,Inf
"46","ABW",2018,Inf
"47","ABW",2019,Inf
"48","ABW",2020,Inf
"49","ABW",2021,Inf
"50","ABW",2022,Inf
"51","AFG",1973,0.000798386584692552
"52","AFG",1974,0.00065146688206834
"53","AFG",1975,0.000760347274499947
"54","AFG",1976,0.000708427184310835
"55","AFG",1977,0.000691041603451214
"56","AFG",1978,0.000587157792060482
"57","AFG",1979,0.000698183017339177
"58","AFG",1980,0.00049298783100484
"59","AFG",1981,0.000586148178314781
"60","AFG",1982,0.000707102848794302
"61","AFG",1983,0.000622796832086468
"62","AFG",1984,0.000594780798831079
"63","AFG",1985,0.000605917133541176
"64","AFG",1986,0.000619182649214431
"65","AFG",1987,0.000658581013595712
"66","AFG",1988,0.000666851410907533
"67","AFG",1989,0.000716239583585188
"68","AFG",1990,0.000756867775615721
"69","AFG",1991,0.00109987879076293
"70","AFG",1992,0.00126707372958041
"71","AFG",1993,0.00133372494580592
"72","AFG",1994,0.00126912383957584
"73","AFG",1995,0.00136679227059681
"74","AFG",1996,0.00129507974344516
"75","AFG",1997,0.00153408147253126
"76","AFG",1998,0.00140619676527654
"77","AFG",1999,0.0010586902609217
"78","AFG",2000,0.00106805442223913
"79","AFG",2001,0.00105480772103177
"80","AFG",2002,0.000969626474752124
"81","AFG",2003,0.0010028258288697
"82","AFG",2004,0.000922542128527335
"83","AFG",2005,0.000931093031487033
"84","AFG",2006,0.000962001768062365
"85","AFG",2007,0.00101491220041987
"86","AFG",2008,0.000998946887028301
"87","AFG",2009,0.000983181208197695
"88","AFG",2010,0.00100115973695435
"89","AFG",2011,0.00096735994650787
"90","AFG",2012,0.00109028067713359
"91","AFG",2013,0.000948423275934901
"92","AFG",2014,0.000952432974427937
"93","AFG",2015,Inf
"94","AFG",2016,Inf
"95","AFG",2017,Inf
"96","AFG",2018,Inf
"97","AFG",2019,Inf
"98","AFG",2020,Inf
"99","AFG",2021,Inf
"100","AFG",2022,Inf
"101","AGO",1973,0.00181717908002362
"102","AGO",1974,0.00182340026079502
"103","AGO",1975,0.00157171329419443
"104","AGO",1976,0.00147148620154205
"105","AGO",1977,0.00135924692369096
"106","AGO",1978,0.00114053398838105
"107","AGO",1979,0.00092836807588954
"108","AGO",1980,0.000893902240971027
"109","AGO",1981,0.000899915311936958
"110","AGO",1982,0.000666967263058646
"111","AGO",1983,0.00063202901446682
"112","AGO",1984,0.000707538262733817
"113","AGO",1985,0.000544204149860446
"114","AGO",1986,0.000495344411175688
"115","AGO",1987,0.000510432794193728
"116","AGO",1988,0.000513513076712838
"117","AGO",1989,0.000521863229350023
"118","AGO",1990,0.000500402603070435
"119","AGO",1991,0.000735914319318592
"120","AGO",1992,0.000445414810948758
"121","AGO",1993,0.000453888068830073
"122","AGO",1994,0.000480922071515819
"123","AGO",1995,0.000469856376559286
"124","AGO",1996,0.000493889945327644
"125","AGO",1997,0.000490145750279433
"126","AGO",1998,0.000492835548742928
"127","AGO",1999,0.000479600458973703
"128","AGO",2000,0.000490211777652247
"129","AGO",2001,0.000507528073239076
"130","AGO",2002,0.000491848948171885
"131","AGO",2003,0.000489965860718548
"132","AGO",2004,0.00050125402021907
"133","AGO",2005,0.000508294264569306
"134","AGO",2006,0.000500830887810225
"135","AGO",2007,0.000498157665384394
"136","AGO",2008,0.000528656749733937
"137","AGO",2009,0.000509418916401759
"138","AGO",2010,0.000545626695621913
"139","AGO",2011,0.000550543930668058
"140","AGO",2012,0.000526905860995637
"141","AGO",2013,0.000535111802265955
"142","AGO",2014,0.00051007546478521
"143","AGO",2015,Inf
"144","AGO",2016,Inf
"145","AGO",2017,Inf
"146","AGO",2018,Inf
"147","AGO",2019,Inf
"148","AGO",2020,Inf
"149","AGO",2021,Inf
"150","AGO",2022,Inf
"151","ALB",1973,Inf
"152","ALB",1974,Inf
"153","ALB",1975,Inf
"154","ALB",1976,Inf
"155","ALB",1977,Inf
"156","ALB",1978,Inf
"157","ALB",1979,Inf
"158","ALB",1980,Inf
"159","ALB",1981,Inf
"160","ALB",1982,Inf
"161","ALB",1983,Inf
"162","ALB",1984,Inf
"163","ALB",1985,Inf
"164","ALB",1986,Inf
"165","ALB",1987,Inf
"166","ALB",1988,Inf
"167","ALB",1989,Inf
"168","ALB",1990,Inf
"169","ALB",1991,Inf
"170","ALB",1992,Inf
"171","ALB",1993,Inf
"172","ALB",1994,Inf
"173","ALB",1995,Inf
"174","ALB",1996,Inf
"175","ALB",1997,Inf
"176","ALB",1998,Inf
"177","ALB",1999,Inf
"178","ALB",2000,Inf
"179","ALB",2001,Inf
"180","ALB",2002,Inf
"181","ALB",2003,Inf
"182","ALB",2004,Inf
"183","ALB",2005,Inf
"184","ALB",2006,Inf
"185","ALB",2007,Inf
"186","ALB",2008,Inf
"187","ALB",2009,Inf
"188","ALB",2010,Inf
"189","ALB",2011,Inf
"190","ALB",2012,Inf
"191","ALB",2013,Inf
"192","ALB",2014,Inf
"193","ALB",2015,Inf
"194","ALB",2016,Inf
"195","ALB",2017,Inf
"196","ALB",2018,Inf
"197","ALB",2019,Inf
"198","ALB",2020,Inf
"199","ALB",2021,Inf
"200","ALB",2022,Inf
"201","AND",1973,Inf
"202","AND",1974,Inf
"203","AND",1975,Inf
"204","AND",1976,Inf
"205","AND",1977,Inf
"206","AND",1978,Inf
"207","AND",1979,Inf
"208","AND",1980,Inf
"209","AND",1981,Inf
"210","AND",1982,Inf
"211","AND",1983,Inf
"212","AND",1984,Inf
"213","AND",1985,Inf
"214","AND",1986,Inf
"215","AND",1987,Inf
"216","AND",1988,Inf
"217","AND",1989,Inf
"218","AND",1990,Inf
"219","AND",1991,Inf
"220","AND",1992,Inf
"221","AND",1993,Inf
"222","AND",1994,Inf
"223","AND",1995,Inf
"224","AND",1996,Inf
"225","AND",1997,Inf
"226","AND",1998,Inf
"227","AND",1999,Inf
"228","AND",2000,Inf
"229","AND",2001,Inf
"230","AND",2002,Inf
"231","AND",2003,Inf
"232","AND",2004,Inf
"233","AND",2005,Inf
"234","AND",2006,Inf
"235","AND",2007,Inf
"236","AND",2008,Inf
"237","AND",2009,Inf
"238","AND",2010,Inf
"239","AND",2011,Inf
"240","AND",2012,Inf
"241","AND",2013,Inf
"242","AND",2014,Inf
"243","AND",2015,Inf
"244","AND",2016,Inf
"245","AND",2017,Inf
"246","AND",2018,Inf
"247","AND",2019,Inf
"248","AND",2020,Inf
"249","AND",2021,Inf
"250","AND",2022,Inf
"251","ARE",1973,0.00140141996063114
"252","ARE",1974,0.001441168916681
"253","ARE",1975,0.00146347130850127
"254","ARE",1976,0.00149916313991393
"255","ARE",1977,0.00157764393590773
"256","ARE",1978,0.00149230122283871
"257","ARE",1979,0.00146725148590563
"258","ARE",1980,0.00151685265170662
"259","ARE",1981,0.00151111386906054
"260","ARE",1982,0.00166405920088317
"261","ARE",1983,0.00175454586671488
"262","ARE",1984,0.00178645247450449
"263","ARE",1985,0.00165887426716088
"264","ARE",1986,0.0018358089506179
"265","ARE",1987,0.00186797735914871
"266","ARE",1988,0.00187370007375887
"267","ARE",1989,0.00189194111188346
"268","ARE",1990,0.00187212025555706
"269","ARE",1991,0.00199052114136152
"270","ARE",1992,0.00202282505229353
"271","ARE",1993,0.00201590551173572
"272","ARE",1994,0.00207452207711502
"273","ARE",1995,0.00214561566811559
"274","ARE",1996,0.00217772198874979
"275","ARE",1997,0.00220358813246703
"276","ARE",1998,0.00230586132417963
"277","ARE",1999,0.00226728962029201
"278","ARE",2000,0.00230284582075551
"279","ARE",2001,0.00227945808693938
"280","ARE",2002,0.0022750306470516
"281","ARE",2003,0.002181490663294
"282","ARE",2004,0.0021959736931113
"283","ARE",2005,0.00237773351637266
"284","ARE",2006,0.00224640137541068
"285","ARE",2007,0.00220527411895298
"286","ARE",2008,0.00211351236130978
"287","ARE",2009,0.0020179741016676
"288","ARE",2010,0.00201618579068807
"289","ARE",2011,0.00201553430312205
"290","ARE",2012,0.00192516776039989
"291","ARE",2013,0.00199592431022751
"292","ARE",2014,0.00195982682039569
"293","ARE",2015,Inf
"294","ARE",2016,Inf
"295","ARE",2017,Inf
"296","ARE",2018,Inf
"297","ARE",2019,Inf
"298","ARE",2020,Inf
"299","ARE",2021,Inf
"300","ARE",2022,Inf
"301","ARG",1973,Inf
"302","ARG",1974,Inf
"303","ARG",1975,Inf
"304","ARG",1976,Inf
"305","ARG",1977,Inf
"306","ARG",1978,Inf
"307","ARG",1979,Inf
"308","ARG",1980,Inf
"309","ARG",1981,Inf
"310","ARG",1982,Inf
"311","ARG",1983,Inf
"312","ARG",1984,Inf
"313","ARG",1985,Inf
"314","ARG",1986,Inf
"315","ARG",1987,Inf
"316","ARG",1988,Inf
"317","ARG",1989,Inf
"318","ARG",1990,0.000605240896970387
"319","ARG",1991,Inf
"320","ARG",1992,Inf
"321","ARG",1993,Inf
"322","ARG",1994,Inf
"323","ARG",1995,Inf
"324","ARG",1996,Inf
"325","ARG",1997,Inf
"326","ARG",1998,Inf
"327","ARG",1999,Inf
"328","ARG",2000,Inf
"329","ARG",2001,Inf
"330","ARG",2002,Inf
"331","ARG",2003,Inf
"332","ARG",2004,0.000590595629629629
